record_type,epoch,step,global_step,optimizer_step,train_step_loss,train_running_loss,train_epoch_loss,val_loss,val_wer,lr,elapsed_sec,best_wer
train_step,41,1,1881,0,8.013045310974121,8.013045310974121,,,,3e-05,,
train_step,41,2,1882,1,7.843812942504883,7.928429126739502,,,,1.0000000000000001e-07,,
train_step,41,3,1883,1,7.260848045349121,7.705902099609375,,,,1.0000000000000001e-07,,
train_step,41,4,1884,2,7.374171733856201,7.6229695081710815,,,,2.0000000000000002e-07,,
train_step,41,5,1885,2,7.4057440757751465,7.579524421691895,,,,2.0000000000000002e-07,,
train_step,41,6,1886,3,7.2445197105407715,7.523690303166707,,,,3.0000000000000004e-07,,
train_step,41,7,1887,3,8.012653350830078,7.593542167118618,,,,3.0000000000000004e-07,,
train_step,41,8,1888,4,6.846984386444092,7.500222444534302,,,,4.0000000000000003e-07,,
train_step,41,9,1889,4,7.688381195068359,7.521128972371419,,,,4.0000000000000003e-07,,
train_step,41,10,1890,5,7.776828765869141,7.546698951721192,,,,5.000000000000001e-07,,
train_step,41,11,1891,5,7.463382720947266,7.5391247489235615,,,,5.000000000000001e-07,,
train_step,41,12,1892,6,7.691849708557129,7.551851828893025,,,,6.000000000000001e-07,,
train_step,41,13,1893,6,7.282086372375488,7.531100639930139,,,,6.000000000000001e-07,,
train_step,41,14,1894,7,7.364932060241699,7.519231455666678,,,,7.000000000000001e-07,,
train_step,41,15,1895,7,8.071528434753418,7.556051254272461,,,,7.000000000000001e-07,,
train_step,41,16,1896,8,6.899771690368652,7.515033781528473,,,,8.000000000000001e-07,,
train_step,41,17,1897,8,7.451186180114746,7.5112780402688415,,,,8.000000000000001e-07,,
train_step,41,18,1898,9,7.370940685272217,7.503481520546807,,,,9e-07,,
train_step,41,19,1899,9,7.703079700469971,7.513986687911184,,,,9e-07,,
train_step,41,20,1900,10,7.03226375579834,7.489900541305542,,,,1.0000000000000002e-06,,
train_step,41,21,1901,10,7.109550476074219,7.4717886334373835,,,,1.0000000000000002e-06,,
train_step,41,22,1902,11,6.567813873291016,7.430698871612549,,,,1.1e-06,,
train_step,41,23,1903,11,7.784456253051758,7.446079627327297,,,,1.1e-06,,
